Atlikimo terminas,Darbo pavadinimas,Apimtis (val.),Žmonių skaičius
Spalio 1 - 5,Išplėtoti idėją pilnai ir detaliai. Turėti bendrą vaizdą ir apgalvoti smulkmenas,8-12,4
Spalio 6 - 13,Parašyti projekto ir dizaino dokumentaciją,10,1-2
Spalio 8 - 13,Surinkti reikiamą grafiką, garsus, muziką ir paveikslėlius,2-3,1-3
Spalio 14,Nusiųsti dokumentaciją dėstytojui,-,1
Spalio 15 - 16,"Pristatyti ir parodyti dokumentaciją, grafikos, audio failus lab. darbų metu",-,1-4
Spalio 17 - 30,Intensyvus žaidimo vystymo procesas,18-24,3-4
Spalio 29 - lapkričio 2,Dokumentacijos atnaujinimas,3,1
Spalio 31 - lapkričio 3",Žaidimo veikimo testavimas. Žaidimo atitikimo reikalavimams testavimas. Klaidų taisymas/neįvykdytų reikalavimų integravimas",2-3,2-3
Lapkričio 4,Nusiųsti dėstytojui veikiančią pradinę žaidimo versiją ir atnaujintą dokumentaciją,-,1
Lapkričio 5 - 6,Pradinės žaidimo versijos pristatymas lab. darbų metu,-,1-4
Lapkričio 7 - 25,Intensyvus žaidimo pilnos versijos kūrimas,30-40,3-4
Lapkričio 26 - gruodžio 1,"Žaidimo veikimo testavimas. Žaidimo atitikimo reikalavimams testavimas. Klaidų taisymas/neįvykdytų reikalavimų integravimas. Papildomo funkcionalumo pridėjimas",4-12,2-4
Lapkričio 27 - gruodžio 1,Paruošti žaidimo pristatomąjį dokumentą,5,1-2
Gruodžio 2,Žaidimo pristatomąjį dokumentą nusiųsti dėstytojui,-,1
Gruodžio 3 - 4,Pristatyti baigtinę žaidimo versiją lab. darbų metu,-,1-4
Gruodžio 5 - 7,Atlikti konkurentų komandos žaidimo analizę,4-6,2-3
Gruodžio 7 - 8,Parengti konkurentų komandos žaidimo apžvelgiamąjį dokumentą,2-4,1
Gruodžio 9,Nusiųsti konkurentų komandos žaidimo apžvelgiamąjį dokumentą dėstytojui,-,1
Gruodžio 10 - 16,Parengti žaidimo eigos vaizdo įrašą, pasiruošti žaidimo pristatymui,8,1-4
Gruodžio 17,Pristatyti žaidimą Teorinės paskaitos metu,-,1-4
