Valdymo pultas,Klaviatūra ir pelė,Mygtuko paskirtis
A,Space,Pašokimas
B,F,Dash galia
X,E,Smūgis
RT,LMB,Panaudoti laikomą ginklą
LT,RMB,Skydas
LB,Z,Super galia Nr.1
RB,X,Super galia Nr.2
Right Stick X-,Mouse cursor move to left,Taikymasis į kairę
Right Stick X+,Mouse cursor move to right,Taikymasis į dešinę
Right Stick Y-,Mouse cursor move to down,Taikymasis žemyn
Right Stick Y+,Mouse cursor move to up,Taikymasis aukštyn
Left Stick X-,A,Judėjimas į kairę
Left Stick X+,D,Judėjimas į dešinę
Left Stick Y-,S,Pritūpti
Start,Enter,Pradėti ir sustabdyti žaidimą
